Season,Winner
1971,KAN
1972,BAL
1973,DAL
1974,MIA
1975,MIA
1976,PIT
1977,PIT
1978,OAK
1979,DAL
1980,PIT
1981,PIT
1982,OAK
1983,SFO
1984,WAS
1985,RAI
1986,CHI
1987,NYG
1988,WAS
1989,SFO
1990,NYG
1991,WAS
1992,DAL
1993,DAL
1994,SFO
1995,DAL
1996,GNB
1997,DEN
1998,DEN
1999,STL
2000,BAL
2001,NWE
2002,TAM
2003,NWE
2004,NWE
2005,PIT
2006,IND
2007,NYG
2008,PIT
2009,NOR
2010,GNB
2011,NYG
2012,BAL
2013,SEA
2014,NWE
2015,DEN
2016,NWE
2017,PHI
2018,NWE
2019,KAN
2020,TAM
2021,LAR
2022,KAN
2023,KAN
2024,PHI
