Rk,Season,Team,W-L%,PtDif,Pass.Yds,Pass.TD,Rush.Yds,Rush.TD,Opp.Pass.Yds,Opp.Pass.TD,Opp.Rush.Yds,Opp.Rush.TD,Forced.TO,DPly
1,2024,BUF,0.765,157,3875,30,2230,32,3843,28,1963,13,32,1052
2,2024,DEN,0.588,114,3610,30,1908,12,3752,22,1639,10,25,1093
3,2024,DET,0.882,222,4474,39,2488,29,4148,18,1672,18,24,1016
4,2024,GNB,0.647,122,3807,28,2496,23,3658,23,1689,13,31,1036
5,2024,HOU,0.588,0,3526,20,1909,15,3417,31,1938,11,29,1050
6,2024,KAN,0.882,59,3780,26,1790,15,3720,24,1731,13,20,1026
7,2024,MIN,0.824,100,4043,35,1855,9,4114,24,1588,12,33,1078
8,2024,PHI,0.824,160,3194,24,3048,29,2961,22,1771,9,26,999
9,2024,PIT,0.588,33,3264,21,2166,14,3876,23,1678,14,33,1034
10,2024,LAR,0.588,-19,3868,22,1765,15,3793,29,2210,13,20,1057
11,2024,BAL,0.706,157,4035,41,3189,21,4150,27,1361,12,17,1062
12,2024,LAC,0.647,101,3629,23,1882,17,3517,24,1997,7,21,1037
13,2024,TAM,0.588,117,4257,41,2536,16,4147,27,1663,13,18,1065
14,2024,WAS,0.706,94,3665,29,2619,25,3221,25,2337,18,17,1029
15,2023,BUF,0.647,140,4154,29,2212,22,3342,18,1880,14,30,1015
16,2023,CLE,0.647,34,3693,24,2017,15,2800,23,1793,15,28,1004
17,2023,DAL,0.706,194,4397,36,1920,14,3185,21,1910,14,26,1014
18,2023,DET,0.706,66,4401,30,2311,27,4205,28,1509,15,23,1037
19,2023,GNB,0.529,33,3968,32,1905,10,3515,21,2181,15,18,1061
20,2023,HOU,0.588,24,4173,27,1647,10,3979,17,1643,19,24,1079
21,2023,KAN,0.647,77,4188,28,1784,9,3001,19,1925,10,17,1045
22,2023,MIA,0.647,105,4514,30,2308,27,3761,27,1650,15,27,1057
23,2023,PHI,0.647,5,3834,24,2190,22,4296,35,1758,13,18,1105
24,2023,PIT,0.588,-20,3163,13,2010,16,3860,23,1956,9,27,1074
25,2023,LAR,0.588,27,4063,26,2045,18,3928,24,1816,14,15,1078
26,2023,BAL,0.765,203,3635,27,2661,26,3263,18,1860,6,31,1109
27,2023,SFO,0.706,193,4384,33,2389,27,3642,20,1525,10,28,1038
28,2023,TAM,0.529,23,3812,28,1509,8,4232,23,1620,11,26,1081
29,2022,BUF,0.813,169,4129,35,2232,15,3433,21,1673,10,27,997
30,2022,CIN,0.75,96,4240,35,1528,14,3665,17,1706,12,24,996
